query_id,query,service_id,intent,region,device,checked_at,rank,url,canonical_url,title,source_file,method
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:10+03:00,3,https://www.yar.kp.ru/daily/27768/5227917/,https://yar.kp.ru/daily/27768/5227917/,"Рыбинцы выберут территорию, которую благоустроят...",yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:10+03:00,4,https://dzen.ru/a/am2PSlBErRgavuVb,https://dzen.ru/a/am2PSlBErRgavuVb/,Архитектурный променад вместо автопарковки. | Дзен,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:10+03:00,5,https://rutube.ru/video/17b3df891949e7d8fde2d28ca47f62b8/,https://rutube.ru/video/17b3df891949e7d8fde2d28ca47f62b8/,(Рыбинск-40) БЛАГОУСТРОЙСТВО ГОРОДСКИХ УЛИЦ,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:10+03:00,6,https://rybinsk.ru/admin/section/committee-government/reshaem-vmeste/34440-rybintsy-vyberut-territoriju-dlja-blagoustrojstva-v-2027-godu,https://rybinsk.ru/admin/section/committee-government/reshaem-vmeste/34440-rybintsy-vyberut-territoriju-dlja-blagoustrojstva-v-2027-godu/,Рыбинцы выберут территорию для благоустройства...,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:10+03:00,7,https://exp76.ru/,https://exp76.ru/,Благоустройство участков под ключ в Рыбинске...,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:10+03:00,8,https://vk.ru/public219796261,https://vk.ru/public219796261/,Благоустройство территории в Рыбинске | Преобразим...,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:10+03:00,9,https://gazeta-rybinsk.ru/2025/07/10/151028,https://gazeta-rybinsk.ru/2025/07/10/151028/,"Проекты, которые меняют Рыбинск | Избранное 10.07.2025",yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000003,благоустройство в рыбинске,S1,commercial_research,Yaroslavl,desktop,2026-08-20T20:49:10+03:00,10,https://www.avito.ru/rybinsk/predlozheniya_uslug?q=%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE+%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0,https://avito.ru/rybinsk/predlozheniya_uslug/,благоустройство участка в Рыбинске - цены и отзывы,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000004,благоустройство дачного участка под ключ,S1,transactional,Yaroslavl,desktop,2026-08-20T20:49:11+03:00,1,https://www.avito.ru/yaroslavl/predlozheniya_uslug?q=%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE+%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0,https://avito.ru/yaroslavl/predlozheniya_uslug/,благоустройство участка в Ярославле - цены и отзывы,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000004,благоустройство дачного участка под ключ,S1,transactional,Yaroslavl,desktop,2026-08-20T20:49:11+03:00,2,https://www.avito.ru/yaroslavl/predlozheniya_uslug/sad_blagoustroystvo-ASgBAgICAUSYC8KfAQ?q=%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE+%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0+%D0%BF%D0%BE%D0%B4+%D0%BA%D0%BB%D1%8E%D1%87,https://avito.ru/yaroslavl/predlozheniya_uslug/sad_blagoustroystvo-ASgBAgICAUSYC8KfAQ/,благоустройство участка под ключ в Ярославле - цены...,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000004,благоустройство дачного участка под ключ,S1,transactional,Yaroslavl,desktop,2026-08-20T20:49:11+03:00,3,https://yaroslavl.blago-s.ru/,https://yaroslavl.blago-s.ru/,Благоустройство участка и территории частного дома...,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
Q000004,благоустройство дачного участка под ключ,S1,transactional,Yaroslavl,desktop,2026-08-20T20:49:11+03:00,4,https://uslugi.yandex.ru/16-yaroslavl/category?text=%D0%91%D0%BB%D0%B0%D0%B3%D0%BE%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE%20%D1%83%D1%87%D0%B0%D1%81%D1%82%D0%BA%D0%B0%20%D0%BF%D0%BE%D0%B4%20%D0%BA%D0%BB%D1%8E%D1%87,https://uslugi.yandex.ru/16-yaroslavl/category/,Благоустройство участка под ключ в Ярославле: 59...,yandex-organic-2026-08-20-part-001.jsonl,live_yandex_organic
