keyword_id,query_raw,query_normalized,service_id,intent,relevance,exclusion_reason,geo,entities,frozen_collision,owner_url,sources,seed,region,device,broad_frequency,phrase_frequency,exact_frequency,impressions,clicks,ctr,avg_position,current_url,collected_at,review_status,final_decision,review_reason
K002445,ливневка ярославль,ливневка ярославль,,commercial_research,frozen_collision,,Ярославль,frozen:storm_sewer,true,https://exp76.ru/category/livnevaya-kanalizatsiya/,webmaster,,,all,,,,1,0,0.0,10.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002446,ливневки ярославль,ливневки ярославль,,commercial_research,frozen_collision,,Ярославль,frozen:storm_sewer,true,https://exp76.ru/category/livnevaya-kanalizatsiya/,webmaster,,,all,,,,2,0,0.0,3.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002447,ливневки ярославль проет,ливневки ярославль проет,,commercial_research,frozen_collision,,Ярославль,frozen:storm_sewer,true,https://exp76.ru/category/livnevaya-kanalizatsiya/,webmaster,,,all,,,,1,0,0.0,5.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002448,ливневые канализации ярославль,ливневые канализации ярославль,,commercial_research,frozen_collision,,Ярославль,frozen:storm_sewer,true,https://exp76.ru/category/livnevaya-kanalizatsiya/,webmaster,,,all,,,,5,1,20.0,6.4,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002449,ливневый дренаж gorodseptikov,ливневый дренаж gorodseptikov,,commercial_research,frozen_collision,,,frozen:storm_sewer,true,https://exp76.ru/category/livnevaya-kanalizatsiya/,webmaster,,,all,,,,1,0,0.0,29.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002450,ливневый дренаж gorodseptikov.ru,ливневый дренаж gorodseptikov ru,,commercial_research,frozen_collision,,,frozen:storm_sewer,true,https://exp76.ru/category/livnevaya-kanalizatsiya/,webmaster,,,all,,,,3,0,0.0,20.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002569,мелиорация дренаж участка в тутаеве,мелиорация дренаж участка в тутаеве,,commercial_research,frozen_collision,,,frozen:drainage|object:site,true,https://exp76.ru/category/drenazh-uchastka/,webmaster,,,all,,,,1,0,0.0,14.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002570,"мелиорация , дренаж участка в ярославской области",мелиорация дренаж участка в ярославской области,,commercial_research,frozen_collision,,Ярославская область,frozen:drainage|object:site,true,https://exp76.ru/category/drenazh-uchastka/,webmaster,,,all,,,,1,0,0.0,9.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002584,метод укладки тротуарной плитки на старую плитку,метод укладки тротуарной плитки на старую плитку,,commercial_research,frozen_collision,,,frozen:paving,true,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,webmaster,,,all,,,,2,1,50.0,2.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
K002613,можно ди га плитку уличную сверху положить другую,можно ди га плитку уличную сверху положить другую,,commercial_research,frozen_collision,,,frozen:paving,true,https://exp76.ru/category/ukladka-trotuarnoy-plitki/,webmaster,,,all,,,,3,0,0.0,7.0,,2026-08-20T18:17:52+03:00,reviewed,frozen_owner,frozen_collision
