"query","demand","clicks","competition","yandex_cluster","source_url","region","device","collected_at"
"сад мечты с ольгой вороновой уход за малиной осенью","0","1","нет данных","сад мечты с ольгой вороновой уход за малиной осенью","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D1%83%D1%85%D0%BE%D0%B4%20%D0%B7%D0%B0%20%D1%81%D0%B0%D0%B4%D0%BE%D0%BC&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
"уход за гортензией в саду для обильного цветения","1","1","высокая","как ухаживать за гортензией","https://webmaster.yandex.ru/site/https:exp76.ru:443/efficiency/wordcraft/?device=ALL_DEVICES&query=%D1%83%D1%85%D0%BE%D0%B4%20%D0%B7%D0%B0%20%D1%81%D0%B0%D0%B4%D0%BE%D0%BC&userQueries=SITES&rivals=GENERAL&mode=QUERY&tab=GENERAL&regions=10841&urls=https%3A%2F%2Fexp76.ru","Ярославская область","all","2026-08-20T18:45:05.501+03:00"
